2023-Feb-25 16:10:12 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Chrome Browser Invoked
2023-Feb-25 16:10:15 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser gor maximize and implicit wait dor 20 seconds
2023-Feb-25 16:10:15 PM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-25 16:10:31 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-25 16:10:32 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-25 16:10:32 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-25 16:10:32 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-25 16:10:55 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser got Closed
2023-Feb-25 16:10:59 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Chrome Browser Invoked
2023-Feb-25 16:11:05 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser gor maximize and implicit wait dor 20 seconds
2023-Feb-25 16:11:05 PM [main] INFO  vit.automationTesting.stepdefs.StepDefs - Browser got Set
2023-Feb-25 16:11:15 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Browser got invoke the base URL:> https://amazon.in
2023-Feb-25 16:11:15 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Assertion of page Validation title was passed with expectes as:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.inAs Actual was:> Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in
2023-Feb-25 16:11:15 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Waiting for Element:> SearchBoxElement to be clickable
2023-Feb-25 16:11:15 PM [main] INFO  vit.automationTesting.pageObjects.LandingPageObject - Sending Key into WebElement:> SearchBoxElement
2023-Feb-25 16:11:39 PM [main] INFO  vit.automationTesting.Core.WebDriverFactory - Browser got Closed
